,creation_date,stars,size,contributor_count,contributor_companies_count,branch_count,commit_count,commit_comment_count,last_commit_date,labels_count,tag_count,milestone_count,pullrequest_count,pullrequest_review_count,release_count,workflow_count,readme_length,issues_count,issues_comment_count,has_wiki,has_pages,has_projects,has_downloads,watchers_count,is_fork,prog_language,file_readme,file_code_of_conduct,file_contributing,file_funding,file_IssuePR_templates,file_security,file_support,year,task,student_type,Task_3_extInstructSet,teamKey
57,2021-06-03 07:04:59,0,101,3,0,2,21,0,2021-06-16 12:04:23,9,2,0,4,0,2,0,6544,5,6,True,False,True,True,False,False,C#,2021-06-03 07:05:01,,,,,,,2021,5,Fac1,,1
58,2021-06-03 08:18:44,0,12,2,0,2,2,0,2021-06-10 18:49:00,9,0,0,0,0,0,0,6544,2,5,True,False,True,True,False,False,,2021-06-03 08:18:45,,,,,,,2021,5,Fac1,,2
59,2021-06-03 08:47:26,0,9,3,0,1,7,0,2021-06-06 17:16:41,9,1,0,1,0,1,0,6544,4,3,True,False,True,True,False,False,C#,2021-06-03 08:47:27,,,,,,,2021,5,Fac1,,3
60,2021-06-03 08:33:56,0,8,3,0,3,10,0,2021-06-08 14:14:03,9,2,0,2,0,2,0,6544,3,1,True,False,True,True,False,False,C#,2021-06-03 08:33:57,,,,,,,2021,5,Fac1,,4
61,2021-06-03 11:50:51,0,81,2,0,3,2,0,2021-06-08 12:10:33,9,0,0,2,0,0,0,6544,2,0,True,False,True,True,False,False,,2021-06-03 11:50:53,,,,,,,2021,5,Fac1,,5
62,2021-06-03 14:29:56,0,1,1,0,2,1,0,2021-06-03 14:29:58,9,0,0,0,0,0,0,6544,0,0,True,False,True,True,False,False,,2021-06-03 14:29:58,,,,,,,2021,5,Fac1,,6
63,2021-06-07 10:47:07,0,0,1,0,1,1,0,2021-06-07 10:47:09,9,0,0,0,0,0,0,6544,0,0,True,False,True,True,False,False,,2021-06-07 10:47:09,,,,,,,2021,5,Fac1,,7
64,2021-06-03 12:00:59,0,13,3,1,1,17,0,2021-06-09 16:19:50,14,2,3,2,3,2,0,7760,7,11,True,False,True,True,False,False,C#,2021-06-03 12:01:00,,,,,,,2021,5,Fac1,,29
65,2021-06-08 10:20:46,1,9,3,0,2,6,0,2021-06-16 14:37:05,9,0,0,1,0,0,0,6544,1,0,True,False,True,True,True,False,C#,2021-06-08 10:20:47,,,,,,,2021,5,Fac1,,8
66,2021-06-03 06:47:22,0,13,3,0,3,12,0,2021-06-15 19:45:42,9,1,0,2,0,1,0,6544,4,4,True,False,True,True,False,False,C#,2021-06-03 06:47:23,,,,,,,2021,5,Fac1,,9
67,2021-06-03 07:22:05,0,6,3,1,3,6,0,2021-06-10 13:42:05,9,0,0,2,0,0,0,6544,4,0,True,False,True,True,False,False,C#,2021-06-03 07:22:07,,,,,,,2021,5,Fac1,,10
68,2021-06-05 15:23:09,0,24,3,0,4,8,0,2021-06-17 11:48:42,9,1,0,3,3,1,0,6544,5,10,True,False,True,True,False,False,C#,2021-06-05 15:23:10,,,,,,,2021,5,Fac1,,11
69,2021-06-03 06:41:39,0,11,3,2,1,15,0,2021-06-07 12:21:03,9,1,2,2,15,1,0,6544,5,7,True,False,True,True,False,False,C#,2021-06-03 06:41:40,,,,,,,2021,5,Fac1,,12
70,2021-06-08 12:20:58,0,0,1,0,1,1,0,2021-06-08 12:21:00,9,0,0,0,0,0,0,6544,0,0,True,False,True,True,False,False,,2021-06-08 12:21:00,,,,,,,2021,5,Fac1,,13
71,2021-06-08 12:11:08,0,0,1,0,1,1,0,2021-06-08 12:11:09,9,0,0,0,0,0,0,6544,0,0,True,False,True,True,False,False,,2021-06-08 12:11:09,,,,,,,2021,5,Fac1,,14
72,2021-06-03 08:03:37,0,23,3,0,9,33,0,2021-06-04 12:20:17,9,1,2,8,8,1,0,6544,19,7,True,False,True,True,False,False,C#,2021-06-03 08:03:38,,,,,,,2021,5,Fac1,,15
73,2021-06-03 11:42:21,0,6,2,0,4,2,0,2021-06-07 12:10:08,9,0,0,2,0,0,0,6544,3,0,True,False,True,True,False,False,,2021-06-03 11:42:22,,,,,,,2021,5,Fac1,,16
74,2021-09-28 20:03:29,0,3,1,0,1,1,0,2021-09-28 20:03:30,9,0,0,0,0,0,0,8528,0,0,True,False,True,True,False,False,,2021-09-28 20:03:30,,,,,,,2021,6,Fac1,,0
75,2021-06-11 08:52:39,0,11,3,0,2,15,0,2021-06-21 11:03:03,9,1,1,1,2,1,0,8528,3,6,True,False,True,True,False,False,C#,2021-06-11 08:52:41,,,,,,,2021,6,Fac1,,1
76,2021-06-16 05:34:28,0,47,4,1,2,11,0,2021-06-27 19:02:35,9,0,0,3,0,0,0,8528,5,8,True,False,True,True,False,False,C#,2021-06-16 05:34:29,,,,,,,2021,6,Fac1,,2
77,2021-06-10 08:02:17,0,10,3,0,1,9,0,2021-06-14 13:52:06,9,1,0,2,0,1,0,8528,2,0,True,False,True,True,False,False,C#,2021-06-10 08:02:18,,,,,,,2021,6,Fac1,,3
78,2021-06-10 08:54:02,0,30,3,0,2,10,0,2021-06-15 15:06:30,9,2,0,1,0,2,0,8528,2,0,True,False,True,True,False,False,C#,2021-06-10 08:54:03,,,,,,,2021,6,Fac1,,4
79,2021-06-10 18:58:33,0,6,2,0,2,2,0,2021-06-15 12:10:20,9,0,0,1,0,0,0,8528,1,0,True,False,True,True,False,False,,2021-06-10 18:58:34,,,,,,,2021,6,Fac1,,5
80,2021-06-15 12:02:10,0,3,1,0,1,1,0,2021-06-15 12:02:11,9,0,0,0,0,0,0,8528,0,0,True,False,True,True,False,False,,2021-06-15 12:02:11,,,,,,,2021,6,Fac1,,6
81,2021-06-10 17:13:40,0,18,3,1,1,21,0,2021-06-14 05:17:12,12,1,5,4,2,1,0,8528,16,22,True,False,True,True,False,False,C#,2021-06-10 17:13:41,,,,,,,2021,6,Fac1,,29
82,2021-06-14 20:55:27,1,55,3,0,2,6,0,2021-06-19 15:37:41,9,1,0,1,0,1,0,8528,2,0,True,False,True,True,True,False,C#,2021-06-14 20:55:29,,,,,,,2021,6,Fac1,,8
83,2021-06-10 07:35:30,0,71,3,0,2,13,0,2021-06-20 21:15:31,9,1,0,1,5,1,0,9220,4,15,True,False,True,True,False,False,C#,2021-06-10 07:35:31,,,,,,,2021,6,Fac1,,9
84,2021-06-15 10:56:13,0,8,2,1,2,3,0,2021-06-15 13:19:19,9,0,0,0,0,0,0,8528,1,0,True,False,True,True,False,False,,2021-06-15 10:56:14,,,,,,,2021,6,Fac1,,10
85,2021-06-10 07:35:53,0,71,3,0,2,5,0,2021-06-17 13:08:24,9,1,0,1,0,1,0,8528,2,6,True,False,True,True,False,False,C#,2021-06-10 07:35:54,,,,,,,2021,6,Fac1,,11
86,2021-06-10 07:27:20,0,25,3,2,4,19,0,2021-06-23 05:46:14,9,1,10,4,5,1,0,8528,10,14,True,False,True,True,False,False,C#,2021-06-10 07:27:22,,,,,,,2021,6,Fac1,,12
87,2021-06-15 12:09:45,0,3,1,0,1,1,0,2021-06-15 12:09:46,9,0,0,0,0,0,0,8528,0,0,True,False,True,True,False,False,,2021-06-15 12:09:46,,,,,,,2021,6,Fac1,,13
88,2021-06-15 12:09:09,0,4,3,0,1,3,0,2021-06-15 12:12:49,9,0,0,0,0,0,0,8528,0,0,True,False,True,True,False,False,,2021-06-15 12:09:11,,,,,,,2021,6,Fac1,,14
89,2021-06-10 09:25:26,0,24,3,0,8,32,0,2021-06-11 10:13:10,11,1,1,8,3,1,0,8528,18,1,True,False,True,True,False,False,C#,2021-06-10 09:25:28,,,,,,,2021,6,Fac1,,15
90,2021-06-14 16:44:54,0,43,2,0,3,2,0,2021-06-15 12:20:57,9,0,0,1,0,0,0,8528,1,0,True,False,True,True,False,False,,2021-06-14 16:44:55,,,,,,,2021,6,Fac1,,16
91,2021-07-09 09:22:24,0,0,1,0,1,1,0,2021-07-09 09:22:25,9,0,0,0,0,0,0,7223,0,0,True,False,True,True,False,False,,2021-07-09 09:22:25,,,,,,,2021,6,Fac3,,17
92,2021-07-13 09:00:07,0,0,1,0,1,1,0,2021-07-13 09:00:09,9,0,0,0,0,0,0,7223,0,0,True,False,True,True,False,False,,2021-07-13 09:00:09,,,,,,,2021,6,Fac3,,19
93,2021-07-13 08:52:44,0,3,2,0,2,3,0,2021-07-17 17:01:02,9,1,0,1,0,1,0,7223,2,0,True,False,True,True,False,False,C#,2021-07-13 08:52:45,,,,,,,2021,6,Fac3,,21
94,2021-07-08 11:59:26,0,0,1,0,1,1,0,2021-07-08 11:59:27,9,0,0,0,0,0,0,7223,0,0,True,False,True,True,False,False,,2021-07-08 11:59:27,,,,,,,2021,6,Fac3,,24
95,2021-07-23 11:01:45,0,0,1,0,1,1,0,2021-07-23 11:01:46,9,0,0,0,0,0,0,7223,0,0,True,False,True,True,False,False,,2021-07-23 11:01:46,,,,,,,2021,6,Fac3,,25
96,2021-07-08 11:56:39,0,0,1,0,1,1,0,2021-07-08 11:56:40,9,0,0,0,0,0,0,7223,1,0,True,False,True,True,False,False,,2021-07-08 11:56:40,,,,,,,2021,6,Fac3,,26
97,2021-07-09 11:54:49,0,3,2,0,3,2,0,2021-07-15 13:12:42,9,0,0,2,0,0,0,7223,3,0,True,False,True,True,False,False,,2021-07-09 11:54:50,,,,,,,2021,6,Fac3,,27
98,2021-09-28 20:04:48,0,0,1,0,1,1,0,2021-09-28 20:04:49,9,0,0,0,0,0,0,9077,0,0,True,False,True,True,False,False,,2021-09-28 20:04:49,,,,,,,2021,7,Fac1,,0
99,2021-06-19 22:16:24,0,10,2,0,2,8,0,2021-07-06 11:00:26,9,1,1,1,0,1,0,9098,3,3,True,False,True,True,False,False,C#,2021-06-19 22:16:25,,,,,,,2021,7,Fac1,,1
100,2021-06-23 13:27:20,0,2,1,0,1,1,0,2021-06-23 13:27:21,9,0,0,0,0,0,0,9098,0,0,True,False,True,True,False,False,,2021-06-23 13:27:21,,,,,,,2021,7,Fac1,,2
101,2021-06-17 16:32:02,0,10,3,0,1,7,0,2021-06-26 12:00:29,9,1,0,1,0,1,0,9098,5,3,True,False,True,True,False,False,C#,2021-06-17 16:32:03,,,,,,,2021,7,Fac1,,3
102,2021-06-18 04:56:18,0,229,3,0,3,6,0,2021-06-28 17:54:13,9,1,0,1,0,1,0,9098,5,4,True,False,True,True,False,False,C#,2021-06-18 04:56:19,,,,,,,2021,7,Fac1,,4
103,2021-06-21 15:50:20,0,2,1,0,1,1,0,2021-06-21 15:50:21,9,0,0,0,0,0,0,9098,0,0,True,False,True,True,False,False,,2021-06-21 15:50:21,,,,,,,2021,7,Fac1,,5
104,2021-06-22 12:03:51,0,2,1,0,1,1,0,2021-06-22 12:03:52,9,0,0,0,0,0,0,9098,0,0,True,False,True,True,False,False,,2021-06-22 12:03:52,,,,,,,2021,7,Fac1,,6
105,2021-06-21 12:08:50,0,2,1,0,1,1,0,2021-06-21 12:08:51,9,0,0,0,0,0,0,9098,0,0,True,False,True,True,False,False,,2021-06-21 12:08:51,,,,,,,2021,7,Fac1,,7
106,2021-06-17 18:26:05,0,208,4,1,2,44,0,2021-06-24 14:18:42,14,2,1,5,8,2,2,9098,12,62,True,False,True,True,False,False,C#,2021-06-17 18:26:06,,,,,,,2021,7,Fac1,,29
107,2021-06-19 15:47:58,0,2,1,0,1,1,0,2021-06-19 15:47:59,9,0,0,0,0,0,0,9098,0,0,True,False,True,True,False,False,,2021-06-19 15:47:59,,,,,,,2021,7,Fac1,,8
108,2021-06-17 19:13:06,0,26,3,0,3,14,0,2021-07-05 12:06:34,9,0,0,1,0,0,0,9089,5,15,True,False,True,True,False,False,C#,2021-06-17 19:13:07,,,,,,,2021,7,Fac1,,9
109,2021-06-22 12:03:58,0,4,2,1,1,2,0,2021-06-22 12:46:52,9,0,0,0,0,0,0,9098,1,0,True,False,True,True,False,False,,2021-06-22 12:04:00,,,,,,,2021,7,Fac1,,10
110,2021-06-17 16:29:29,0,194,3,0,3,26,0,2021-07-05 10:57:28,9,1,0,2,0,1,0,9098,4,7,True,False,True,True,False,False,C#,2021-06-17 16:29:31,,,,,,,2021,7,Fac1,,11
111,2021-06-18 09:41:47,0,14,3,2,4,17,0,2021-07-08 17:10:11,9,0,1,3,17,0,1,9098,10,43,True,False,True,True,False,False,C#,2021-06-18 09:41:48,,,,,,,2021,7,Fac1,,12
